battle,country,result,source_url
List of battles involving France,France,unknown,https://en.wikipedia.org/wiki/List_of_battles_involving_France
List of battles involving France in modern history,France,unknown,https://en.wikipedia.org/wiki/List_of_battles_involving_France_in_modern_history
List of battles involving the Franks and Francia,France,unknown,https://en.wikipedia.org/wiki/List_of_battles_involving_the_Franks_and_Francia
2018 Inata attack,France,win,https://en.wikipedia.org/wiki/2018_Inata_attack
Battle of Abala,France,win,https://en.wikipedia.org/wiki/Battle_of_Abala
Battle of Abomey,France,unknown,https://en.wikipedia.org/wiki/Battle_of_Abomey
Battles of Acapulco,France,win,https://en.wikipedia.org/wiki/Battles_of_Acapulco
Battle of Adyar,France,win,https://en.wikipedia.org/wiki/Battle_of_Adyar
Battle of Agnadello,France,win,https://en.wikipedia.org/wiki/Battle_of_Agnadello
Siege of Alcántara (1706),France,win,https://en.wikipedia.org/wiki/Siege_of_Alcántara_(1706)
Alhucemas landing,France,win,https://en.wikipedia.org/wiki/Alhucemas_landing
Battle of Aljubarrota,France,win,https://en.wikipedia.org/wiki/Battle_of_Aljubarrota
Battle of the Alma,France,win,https://en.wikipedia.org/wiki/Battle_of_the_Alma
Battle of Almansa,France,win,https://en.wikipedia.org/wiki/Battle_of_Almansa
Battle of Amiens (1870),France,win,https://en.wikipedia.org/wiki/Battle_of_Amiens_(1870)
Battle of Arnee,France,win,https://en.wikipedia.org/wiki/Battle_of_Arnee
Battle of Arques,France,win,https://en.wikipedia.org/wiki/Battle_of_Arques
Battle of Arras (1654),France,win,https://en.wikipedia.org/wiki/Battle_of_Arras_(1654)
Battle of Arsuf,France,win,https://en.wikipedia.org/wiki/Battle_of_Arsuf
Battle of Artenay,France,win,https://en.wikipedia.org/wiki/Battle_of_Artenay
Assault on Nijmegen (1702),France,other,https://en.wikipedia.org/wiki/Assault_on_Nijmegen_(1702)
Battle of Assietta,France,win,https://en.wikipedia.org/wiki/Battle_of_Assietta
Siege of Atella,France,win,https://en.wikipedia.org/wiki/Siege_of_Atella
Battle of Atlixco (1862),France,win,https://en.wikipedia.org/wiki/Battle_of_Atlixco_(1862)
Avalon Peninsula campaign,France,win,https://en.wikipedia.org/wiki/Avalon_Peninsula_campaign
2020 Ayorou attack,France,win,https://en.wikipedia.org/wiki/2020_Ayorou_attack
Conquest of the Azores,France,win,https://en.wikipedia.org/wiki/Conquest_of_the_Azores
Battle of Balaclava,France,other,https://en.wikipedia.org/wiki/Battle_of_Balaclava
Battle of Ballon,France,win,https://en.wikipedia.org/wiki/Battle_of_Ballon
January 2019 Bambari clashes,France,win,https://en.wikipedia.org/wiki/January_2019_Bambari_clashes
Battle of Bang Bo (Zhennan Pass),France,win,https://en.wikipedia.org/wiki/Battle_of_Bang_Bo_(Zhennan_Pass)
Barbary Crusade,France,win,https://en.wikipedia.org/wiki/Barbary_Crusade
Blockade of Barcelona,France,win,https://en.wikipedia.org/wiki/Blockade_of_Barcelona
Battle of Barranca Seca,France,win,https://en.wikipedia.org/wiki/Battle_of_Barranca_Seca
Battle of Bassignano,France,win,https://en.wikipedia.org/wiki/Battle_of_Bassignano
Battle of Atchoukpa,France,win,https://en.wikipedia.org/wiki/Battle_of_Atchoukpa
Battle of Beirut (1520),France,win,https://en.wikipedia.org/wiki/Battle_of_Beirut_(1520)
Battle of Bonavista,France,other,https://en.wikipedia.org/wiki/Battle_of_Bonavista
Battle of Dompaire,France,win,https://en.wikipedia.org/wiki/Battle_of_Dompaire
Battle of Fort Albany (1693),France,unknown,https://en.wikipedia.org/wiki/Battle_of_Fort_Albany_(1693)
Battle of Baugé,France,win,https://en.wikipedia.org/wiki/Battle_of_Baugé
Battle of Beaumont,France,win,https://en.wikipedia.org/wiki/Battle_of_Beaumont
Battle of Beaune-la-Rolande,France,win,https://en.wikipedia.org/wiki/Battle_of_Beaune-la-Rolande
Battle of Beauport,France,win,https://en.wikipedia.org/wiki/Battle_of_Beauport
Capture of Belle Île,France,win,https://en.wikipedia.org/wiki/Capture_of_Belle_Île
Battle of La Belle-Famille,France,win,https://en.wikipedia.org/wiki/Battle_of_La_Belle-Famille
Battle of Benghazi (2014–2017),France,win,https://en.wikipedia.org/wiki/Battle_of_Benghazi_(2014–2017)
Battle of Berezina,France,other,https://en.wikipedia.org/wiki/Battle_of_Berezina
Battle of Bergen (1759),France,win,https://en.wikipedia.org/wiki/Battle_of_Bergen_(1759)
Battle of Bicocca,France,win,https://en.wikipedia.org/wiki/Battle_of_Bicocca
Bizerte crisis,France,win,https://en.wikipedia.org/wiki/Bizerte_crisis
Battle of Blain,France,win,https://en.wikipedia.org/wiki/Battle_of_Blain
Battle of Blaye,France,win,https://en.wikipedia.org/wiki/Battle_of_Blaye
Battle of Blenheim,France,win,https://en.wikipedia.org/wiki/Battle_of_Blenheim
Bombardment of Arras,France,win,https://en.wikipedia.org/wiki/Bombardment_of_Arras
Bombardment of Chios (1681),France,win,https://en.wikipedia.org/wiki/Bombardment_of_Chios_(1681)
Bombardment of Givet,France,win,https://en.wikipedia.org/wiki/Bombardment_of_Givet
Battle of Bonchurch,France,win,https://en.wikipedia.org/wiki/Battle_of_Bonchurch
Battle of Borgo,France,win,https://en.wikipedia.org/wiki/Battle_of_Borgo
Battle of Borisov,France,win,https://en.wikipedia.org/wiki/Battle_of_Borisov
Battle of Borodino,France,other,https://en.wikipedia.org/wiki/Battle_of_Borodino
Battle of Bosco Marengo,France,win,https://en.wikipedia.org/wiki/Battle_of_Bosco_Marengo
Boucicaut's expedition to the Levant (1403),France,win,https://en.wikipedia.org/wiki/Boucicaut's_expedition_to_the_Levant_(1403)
Bourzanga attack,France,win,https://en.wikipedia.org/wiki/Bourzanga_attack
Battle of Brémule,France,win,https://en.wikipedia.org/wiki/Battle_of_Brémule
Battle of Bretoncelles,France,win,https://en.wikipedia.org/wiki/Battle_of_Bretoncelles
Battle of Brignais,France,win,https://en.wikipedia.org/wiki/Battle_of_Brignais
Battle of Brihuega,France,win,https://en.wikipedia.org/wiki/Battle_of_Brihuega
Battle of Brissarthe,France,win,https://en.wikipedia.org/wiki/Battle_of_Brissarthe
British campaign in the Caribbean (1803),France,win,https://en.wikipedia.org/wiki/British_campaign_in_the_Caribbean_(1803)
Bombardment of Brussels,France,unknown,https://en.wikipedia.org/wiki/Bombardment_of_Brussels
Battle of Buchy,France,win,https://en.wikipedia.org/wiki/Battle_of_Buchy
Bulo Marer hostage rescue attempt,France,other,https://en.wikipedia.org/wiki/Bulo_Marer_hostage_rescue_attempt
