battle,country,result,source_url
Affair of Porto Novo,Sweden,win,https://en.wikipedia.org/wiki/Affair_of_Porto_Novo
Åland Offensive,Sweden,other,https://en.wikipedia.org/wiki/Åland_Offensive
Battle of Alavus,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Alavus
Battle of Älgarås,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Älgarås
Assault on Ivangorod,Sweden,win,https://en.wikipedia.org/wiki/Assault_on_Ivangorod
Assault on Vatikivi,Sweden,win,https://en.wikipedia.org/wiki/Assault_on_Vatikivi
Attack on Åbo,Sweden,other,https://en.wikipedia.org/wiki/Attack_on_Åbo
Attack on Bornholm (1566),Sweden,win,https://en.wikipedia.org/wiki/Attack_on_Bornholm_(1566)
Attack on Narva (1657),Sweden,win,https://en.wikipedia.org/wiki/Attack_on_Narva_(1657)
Attack on Nyen (1658),Sweden,win,https://en.wikipedia.org/wiki/Attack_on_Nyen_(1658)
Attack on Stockholm (1452),Sweden,win,https://en.wikipedia.org/wiki/Attack_on_Stockholm_(1452)
Attack on Taipale,Sweden,win,https://en.wikipedia.org/wiki/Attack_on_Taipale
Attack on Tulemajärvi,Sweden,win,https://en.wikipedia.org/wiki/Attack_on_Tulemajärvi
Battle of Åsle,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Åsle
Battle of Botkyrka,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Botkyrka
Battle of Genevadsbro,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Genevadsbro
Battle of Haddorp,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Haddorp
Battle of Hjärtum,Sweden,other,https://en.wikipedia.org/wiki/Battle_of_Hjärtum
Battle of Ivangorod,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Ivangorod
Battle of Kattarp,Sweden,other,https://en.wikipedia.org/wiki/Battle_of_Kattarp
Battle of Kölleryd,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Kölleryd
Battle of Lälitz,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lälitz
Battle of Latarnia,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Latarnia
Battle of Lava,Sweden,other,https://en.wikipedia.org/wiki/Battle_of_Lava
Battle of Lempäälä,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Lempäälä
Battle of Mönninvaara,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Mönninvaara
Battle of Nabe,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Nabe
Battle of Nyborg fjord,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Nyborg_fjord
Battle of Pielis,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Pielis
Battle of Rautu Church,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Rautu_Church
Battle of Ristilahti,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Ristilahti
Battle of Tornio (1918),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Tornio_(1918)
Battle of Ubagall,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Ubagall
Battle of Virserum,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Virserum
Battle of Visby,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Visby
Battles of Kopperberget and Opphöga ferry,Sweden,win,https://en.wikipedia.org/wiki/Battles_of_Kopperberget_and_Opphöga_ferry
Battle of Björkösund,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Björkösund
